nash_value,stones,mega_slot,effective_roster_R,mirror_exposure,gap_exposure_pct,zero_answer_opps,members,pick_rates_pct
0.0264,1,망나뇽,4.764,0.307,0.0,0,누리레느|마스카나|아머까오|에이스번|망나뇽|님피아,6|62|16|80|91|46
0.0264,1,마폭시,4.692,0.311,0.7,1,브리두라스|아머까오|에이스번|알로라 나인테일|워시로토무|마폭시,76|15|80|15|20|94
0.0264,2,망나뇽,5.026,0.266,7.9,0,갑주무사|타부자고|아머까오|에이스번|망나뇽|님피아,25|54|8|78|88|48
0.0263,1,망나뇽,4.794,0.291,0.0,0,마스카나|아머까오|에이스번|망나뇽|님피아|엠페르트,62|15|79|92|46|8
0.026,1,보만다,5.101,0.234,4.2,0,보만다|타부자고|에이스번|워시로토무|불카모스|님피아,91|50|75|20|15|49
0.026,1,보만다,5.011,0.267,5.8,0,보만다|브리두라스|에이스번|워시로토무|님피아|히트로토무,90|54|77|12|49|18
0.0258,1,보만다,5.108,0.269,5.8,0,보만다|브리두라스|에이스번|워시로토무|불카모스|님피아,90|53|76|15|19|48
0.0255,2,망나뇽,4.905,0.252,11.2,0,갸라도스|아머까오|에이스번|워시로토무|망나뇽|님피아,54|12|85|13|85|51
0.0255,2,갑주무사,5.117,0.246,3.7,0,보만다|갑주무사|타부자고|에이스번|알로라 나인테일|님피아,87|26|54|71|9|52
0.0254,1,보만다,4.958,0.282,0.6,0,보만다|브리두라스|아머까오|에이스번|워시로토무|님피아,90|58|12|77|15|49
0.0254,1,마폭시,4.907,0.197,0.7,0,아머까오|대쓰여너|에이스번|워시로토무|님피아|마폭시,12|25|82|26|62|93
