atk\def,보만다,한카리아스,누리레느,갑주무사,하마돈,루카리오,드닐레이브,브리두라스,타부자고,따라큐,고릴타,킬가르도,마스카나,갸라도스,아머까오,킬라플로르,대쓰여너,리자몽,포푸니크,개굴닌자,에이스번,알로라 나인테일,에써르(수컷),워시로토무,불카모스,빠르모트,라우드본,삼삼드래,메타그로스,망나뇽,님피아,히트로토무,거북왕,대도각참,팬텀,마폭시,엠페르트,번치코,대짱이,라이츄,블래키,다크펫,더시마사리,핫삼,오롱털,픽시,카디나르마,앱솔,찌리배리,맘모꾸리,파라블레이즈,패리퍼,찌르호크,대검귀,마기라스,이어롭,플라엣테,배바닐라,드래펄트,입치트,메가니움,메타몽,이상해꽃,밀로틱,스코빌런,아쿠스타,몰드류,조로아크(히스이),미끄래곤(히스이),잠만보,무장조,클레스퍼트라,창파나이트,우츠보트,가라르야도킹,깜까미,엘풍,저승갓숭,스트린더(하이),샤미드,사마자르,인텔리레온,깨비물거미,가디안,왕구리,엘레이드,브리무음,눈여아,어흥염,마릴리,올리르바,스트린더(로우),펜드라,화염레오,윈디(히스이),캥카,꿈트렁,에써르(암컷),후딘,드래캄
님피아,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
히트로토무,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거북왕,-0.0238,-0.3288,,0.4735,,-0.3288,-0.5621,,,,,,,-0.5621,,-0.0955,,-0.1482,,-0.3288,,,,,,,,,0.0068,-0.2744,,,0,,0.0068,0.2401,,-0.0955,0.4735,-0.6644,,0.1379,,0.6663,,0.5627,,0.0068,,,,,-0.1840,,0.7068,-0.3288,-0.2837,,,0.4735,-0.6632,,-0.5907,,0.0427,0.3424,0.2401,,,,0.0068,,,-0.0955,,0.8919,,,,,,,,-0.3288,,-0.3175,,-0.3288,,,,,0.4735,0.2401,,-0.2769,,,,-0.0955
대도각참,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
팬텀,0.1379,-0.5621,,-0.0955,,0.3712,0.1379,,,,,,,-0.1977,,-0.0955,,-0.1482,,-0.0955,,,,,,,,,-0.1977,-0.0977,,,-0.0955,,0,-0.6644,,0.1379,-0.4311,-0.0955,,0.0356,,-0.0381,,0.9005,,-0.3288,,,,,0.2213,,0.3712,0.0068,0.2862,,,0.1379,0.6058,,-0.0306,,0.3712,0.1379,-0.1977,,,,-0.0232,,,0.2400,,-0.1967,,,,,,,,-0.1977,,0.1379,,0.1379,,,,,-0.0955,0.1379,,0.1379,,,,-0.3288
마폭시,-0.0256,-0.3288,,0.3712,,0.7068,0.1379,,,,,,,-0.0955,,0.1379,,0.2897,,-0.3288,,,,,,,,,0.8090,-0.0919,,,-0.4311,,0.3712,0,,0.3712,-0.4311,0.1379,,-0.1977,,0.5641,,0.9939,,-0.3288,,,,,0.4120,,-0.4311,-0.0955,0.8521,,,0.7068,0.8497,,0.7583,,0.8823,-0.0955,0.3712,,,,0.6144,,,0.7068,,0.1379,,,,,,,,0.8090,,0.1379,,0.3712,,,,,0.3712,0.2400,,0.1379,,,,0.1379
엠페르트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
번치코,-0.8279,-0.3288,,0.3712,,-0.0955,0.1379,,,,,,,0.3712,,-0.0955,,0.1379,,-0.4311,,,,,,,,,-0.3288,-0.3311,,,-0.1977,,-0.3288,-0.6644,,0,-0.1977,-0.0955,,0.1379,,0.3712,,0.2647,,-0.3288,,,,,-0.5809,,0.3712,-0.0955,-0.4319,,,0.7068,0.4427,,0.2043,,0.7139,-0.3288,-0.4311,,,,-0.3570,,,0.7068,,0.9971,,,,,,,,-0.4311,,-0.3288,,0.2401,,,,,0.2486,0.2401,,0.1379,,,,0.1379
대짱이,-0.0937,-0.5621,,0.2400,,-0.0955,-0.5621,,,,,,,-0.8977,,-0.0955,,-0.4080,,-0.3288,,,,,,,,,0.0068,-0.2744,,,-0.5621,,0.2401,0.2401,,-0.0955,0,-0.0955,,0.0068,,-0.1581,,0.3293,,0.0068,,,,,0.0883,,0.0068,-0.3288,-0.2837,,,0.8090,-0.6644,,-0.8312,,-0.6644,0.3424,0.0068,,,,0.0134,,,-0.3288,,0.8890,,,,,,,,0.0068,,-0.6531,,0.0068,,,,,0.3511,0.2401,,-0.3130,,,,0.3712
라이츄,-0.0256,-0.3288,,0.0714,,0.0356,-0.1977,,,,,,,-0.1977,,0.1379,,0.3185,,-0.0955,,,,,,,,,0.1379,-0.2121,,,0.3712,,-0.0955,-0.3288,,-0.1977,-0.1977,0,,0.1379,,0.1965,,0.4626,,-0.3288,,,,,0.1806,,0.0356,-0.6644,-0.0955,,,0.1379,-0.6550,,-0.3495,,-0.0955,0.7068,-0.1977,,,,0.2021,,,0.0575,,0.3721,,,,,,,,0.1379,,-0.1864,,0.1379,,,,,0.1379,0.1379,,0.1379,,,,-0.5621
블래키,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다크펫,-0.7256,-0.3288,,-0.0955,,-0.6644,-0.5621,,,,,,,-0.8977,,-0.3288,,-0.3815,,-0.3288,,,,,,,,,-0.3288,-0.6788,,,-0.3288,,-0.4311,-0.0955,,-0.3288,-0.0955,-0.3288,,0,,-0.1360,,0.4379,,-0.3288,,,,,-0.2454,,-0.7955,-0.2267,-0.3288,,,0.4735,0.1391,,-0.0099,,-0.0955,0.2401,-0.5621,,,,-0.2548,,,0.4735,,0.0366,,,,,,,,-0.0955,,-0.0955,,-0.0955,,,,,0.2400,-0.5621,,-0.5467,,,,0.1379
더시마사리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
핫삼,-0.8085,-0.8390,,0.2859,,-0.3288,0.3303,,,,,,,0.5353,,-0.2701,,-0.8977,,-0.0367,,,,,,,,,0.1789,-0.8168,,,-0.6962,,0.0641,-0.7985,,-0.6644,0.1914,-0.2701,,0.1059,,0,,-0.2200,,0.3004,,,,,-0.2809,,0.7656,0.0068,0.1496,,,0.0488,0.6497,,0.7714,,-0.4311,0.7203,-0.0044,,,,-0.1288,,,0.9961,,0.8388,,,,,,,,-0.4715,,0.2062,,0.1997,,,,,0.8778,-0.6644,,-0.4331,,,,0.3758
오롱털,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
픽시,0.0587,0.3068,,0.2233,,-0.8730,-0.3288,,,,,,,0.0960,,-0.8063,,-0.7078,,-0.3041,,,,,,,,,-0.5374,-0.0690,,,-0.4729,,-0.7955,-0.7101,,-0.2622,-0.2396,-0.5730,,-0.5374,,0.1746,,0,,-0.0040,,,,,0.0732,,-0.5374,-0.0287,-0.6046,,,0.2292,0.4341,,-0.7033,,-0.6003,-0.1706,-0.5374,,,,-0.4649,,,-0.2396,,0.9974,,,,,,,,-0.4729,,-0.3288,,-0.5374,,,,,-0.0876,-0.6905,,-0.4971,,,,-0.5374
카디나르마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
앱솔,0.1379,-0.0955,,-0.3952,,-0.1977,0.1379,,,,,,,0.1379,,-0.0955,,0.3712,,0.1379,,,,,,,,,0.1379,-0.0977,,,-0.0955,,0.1379,0.1379,,0.1379,-0.0955,0.1379,,0.1379,,-0.2035,,-0.1063,,0,,,,,-0.0528,,0.3712,0.1379,-0.5342,,,-0.0955,-0.5227,,0.3708,,0.1379,0.4735,0.1379,,,,-0.2646,,,0.2400,,0.5168,,,,,,,,-0.4311,,0.1379,,0.1379,,,,,0.1915,0.1379,,0.4735,,,,-0.4311
찌리배리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맘모꾸리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
파라블레이즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
패리퍼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
찌르호크,-0.8011,-0.2454,,0.7556,,-0.2861,0.1379,,,,,,,0.7476,,0.2213,,-0.0440,,-0.2861,,,,,,,,,-0.5194,-0.3626,,,0.1786,,-0.2454,-0.5194,,0.4547,-0.0139,-0.3902,,0.2213,,0.1858,,-0.0181,,-0.0547,,,,,0,,0.6453,-0.0119,-0.3432,,,0.2213,0.1962,,0.8394,,0.4547,-0.2454,0.7476,,,,-0.4721,,,0.7903,,0.9577,,,,,,,,0.0764,,-0.0528,,-0.3902,,,,,0.4443,-0.0119,,0.4120,,,,-0.0528
대검귀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마기라스,0.2419,0.0068,,-0.4020,,-0.6644,0.0068,,,,,,,-0.3288,,0.2401,,-0.0197,,-0.0955,,,,,,,,,-0.3288,-0.1099,,,-0.8977,,-0.6644,0.2401,,-0.6644,-0.0955,-0.4311,,1.0000,,-0.8390,,0.4379,,-0.6644,,,,,-0.8550,,0,-0.6644,-0.6192,,,0.1379,-0.5621,,-0.4972,,-0.0955,0.0068,-0.3288,,,,-0.2548,,,0.2400,,0.9971,,,,,,,,-0.3288,,-0.8977,,0.2401,,,,,0.3142,0.5757,,-0.3288,,,,-0.1977
이어롭,-0.1279,-0.3288,,-0.0955,,0.0356,0.1379,,,,,,,0.7068,,0.1379,,0.1379,,-0.0955,,,,,,,,,-0.0955,0.1356,,,0.1379,,-0.0955,-0.1977,,-0.1977,0.1379,0.3712,,0.2400,,-0.0955,,-0.0708,,-0.3288,,,,,-0.1142,,0.3712,0,-0.1977,,,0.1379,-0.0252,,0.5384,,0.1379,0.1379,0.1379,,,,-0.1236,,,0.4735,,0.9643,,,,,,,,-0.1977,,-0.1864,,-0.3288,,,,,0.0152,0.3712,,0.3351,,,,0.1379
플라엣테,-0.1859,0.6209,,-0.4613,,-0.5161,0.4164,,,,,,,0.7520,,0.0347,,-0.2504,,0.0528,,,,,,,,,-0.7955,0.9033,,,0.1830,,-0.4319,-0.7524,,0.2862,0.1830,0.0068,,0.1379,,-0.0629,,0.7660,,0.3884,,,,,0.2239,,0.4164,-0.0955,0,,,-0.0514,0.5651,,0.2381,,0.2677,0.3034,-0.6653,,,,-0.7285,,,0.1830,,1.0000,,,,,,,,0.5176,,0.2853,,0.1551,,,,,-0.1525,-0.1990,,0.1830,,,,0.0347
배바닐라,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
드래펄트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
입치트,-0.4923,-0.3288,,0.0000,,-0.8977,-0.3288,,,,,,,-0.3288,,-0.3288,,-0.8977,,-0.3288,,,,,,,,,-0.7955,-0.3940,,,-0.5621,,-0.3288,-0.8977,,-0.8977,-0.7955,-0.3288,,-0.5621,,-0.0588,,-0.2375,,0.0068,,,,,-0.2454,,-0.3288,-0.3288,0.0509,,,0,-0.2574,,-0.4125,,-0.8977,0.1066,-0.8977,,,,-0.3955,,,0.7599,,1.0000,,,,,,,,-0.3288,,-0.3288,,0.0068,,,,,-0.6848,-0.8977,,-0.5982,,,,0.2400
메가니움,-0.4733,-0.0942,,-0.6560,,-0.6644,-0.4919,,,,,,,0.2414,,-0.5942,,-0.5860,,-0.5942,,,,,,,,,-0.4919,-0.3433,,,0.5437,,-0.8275,-0.8263,,-0.5929,0.3712,0.8021,,-0.3608,,-0.4321,,-0.2796,,0.5462,,,,,-0.2705,,0.4735,-0.0942,-0.4705,,,0.2092,0,,-0.8512,,-0.2872,0.0770,-0.4919,,,,-0.7471,,,-0.8263,,0.9979,,,,,,,,-0.3277,,-0.3264,,-0.4919,,,,,-0.5942,-0.5929,,-0.3375,,,,-0.5942
